LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0109100000000	01	091	Marengo County, AL	2010	NA	8136	7021	1115	13.7
CN0109300000000	01	093	Marion County, AL	2010	NA	13215	11423	1792	13.6
CN0109500000000	01	095	Marshall County, AL	2010	NA	41637	37640	3997	9.6
CN0109700000000	01	097	Mobile County, AL	2010	NA	192730	170943	21787	11.3
CN0109900000000	01	099	Monroe County, AL	2010	NA	8712	7131	1581	18.1
CN0110100000000	01	101	Montgomery County, AL	2010	NA	108753	97892	10861	10
CN0110300000000	01	103	Morgan County, AL	2010	NA	57817	51600	6217	10.8
CN0110500000000	01	105	Perry County, AL	2010	NA	3891	3236	655	16.8
CN0110700000000	01	107	Pickens County, AL	2010	NA	7699	6687	1012	13.1
CN0110900000000	01	109	Pike County, AL	2010	NA	15677	14198	1479	9.4
CN0111100000000	01	111	Randolph County, AL	2010	NA	9706	8410	1296	13.4
CN0111300000000	01	113	Russell County, AL	2010	NA	23814	21225	2589	10.9
CN0111500000000	01	115	St. Clair County, AL	2010	NA	38280	34397	3883	10.1
CN0111700000000	01	117	Shelby County, AL	2010	NA	102372	95110	7262	7.1
CN0111900000000	01	119	Sumter County, AL	2010	NA	5777	5006	771	13.3
CN0112100000000	01	121	Talladega County, AL	2010	NA	35129	30389	4740	13.5
CN0112300000000	01	123	Tallapoosa County, AL	2010	NA	19079	16579	2500	13.1
CN0112500000000	01	125	Tuscaloosa County, AL	2010	NA	93915	85273	8642	9.2
CN0112700000000	01	127	Walker County, AL	2010	NA	27279	23815	3464	12.7
CN0112900000000	01	129	Washington County, AL	2010	NA	7385	6335	1050	14.2
CN0113100000000	01	131	Wilcox County, AL	2010	NA	3066	2261	805	26.3
CN0113300000000	01	133	Winston County, AL	2010	NA	9883	8304	1579	16
CN0201300000000	02	013	Aleutians East Borough, AK	2010	NA	2031	1917	114	5.6
CN0201600000000	02	016	Aleutians West Census Area, AK	2010	NA	3955	3755	200	5.1
CN0202000000000	02	020	Anchorage Borough/municipality, AK	2010	NA	157923	147539	10384	6.6
CN0205000000000	02	050	Bethel Census Area, AK	2010	NA	7161	6114	1047	14.6
CN0206000000000	02	060	Bristol Bay Borough, AK	2010	NA	505	456	49	9.7
CN0206800000000	02	068	Denali Borough, AK	2010	NA	1011	891	120	11.9
CN0207000000000	02	070	Dillingham Census Area, AK	2010	NA	2089	1878	211	10.1
CN0209000000000	02	090	Fairbanks North Star Borough, AK	2010	NA	48285	45083	3202	6.6
CN0210000000000	02	100	Haines Borough, AK	2010	NA	1150	1028	122	10.6
CN0210500000000	02	105	Hoonah-Angoon Census Area, AK	2010	NA	1064	915	149	14
CN0211000000000	02	110	Juneau Borough/city, AK	2010	NA	17903	16848	1055	5.9
CN0212200000000	02	122	Kenai Peninsula Borough, AK	2010	NA	27001	24310	2691	10
CN0213000000000	02	130	Ketchikan Gateway Borough, AK	2010	NA	7123	6501	622	8.7
CN0215000000000	02	150	Kodiak Island Borough, AK	2010	NA	6470	5993	477	7.4
CN0215800000000	02	158	Kusilvak Census Area, AK	2010	NA	2658	2115	543	20.4
CN0216400000000	02	164	Lake and Peninsula Borough, AK	2010	NA	604	517	87	14.4
CN0217000000000	02	170	Matanuska-Susitna Borough, AK	2010	NA	42314	38319	3995	9.4
CN0218000000000	02	180	Nome Census Area, AK	2010	NA	4111	3595	516	12.6
CN0218500000000	02	185	North Slope Borough, AK	2010	NA	3968	3649	319	8
CN0218800000000	02	188	Northwest Arctic Borough, AK	2010	NA	2957	2560	397	13.4
CN0219500000000	02	195	Petersburg Borough, AK	2010	NA	1844	1698	146	7.9
CN0219800000000	02	198	Prince of Wales-Hyder Census Area, AK	2010	NA	2543	2276	267	10.5
CN0222000000000	02	220	Sitka Borough/city, AK	2010	NA	4561	4274	287	6.3
CN0223000000000	02	230	Skagway Municipality, AK	2010	NA	718	614	104	14.5
CN0224000000000	02	240	Southeast Fairbanks Census Area, AK	2010	NA	3196	2816	380	11.9
CN0226100000000	02	261	Valdez-Cordova Census Area, AK	2010	NA	4875	4419	456	9.4
CN0227500000000	02	275	Wrangell Borough/city, AK	2010	NA	1027	945	82	8
CN0228200000000	02	282	Yakutat Borough/city, AK	2010	NA	297	265	32	10.8
CN0229000000000	02	290	Yukon-Koyukuk Census Area, AK	2010	NA	2567	2125	442	17.2
CN0400100000000	04	001	Apache County, AZ	2010	NA	23438	19589	3849	16.4
CN0400300000000	04	003	Cochise County, AZ	2010	NA	57023	51694	5329	9.3
CN0400500000000	04	005	Coconino County, AZ	2010	NA	72846	65650	7196	9.9
CN0400700000000	04	007	Gila County, AZ	2010	NA	21623	18914	2709	12.5
CN0400900000000	04	009	Graham County, AZ	2010	NA	14570	12687	1883	12.9
CN0401100000000	04	011	Greenlee County, AZ	2010	NA	3439	2875	564	16.4
CN0401200000000	04	012	La Paz County, AZ	2010	NA	7868	7063	805	10.2
CN0401300000000	04	013	Maricopa County, AZ	2010	NA	1919590	1736764	182826	9.5
CN0401500000000	04	015	Mohave County, AZ	2010	NA	82726	71999	10727	13
CN0401700000000	04	017	Navajo County, AZ	2010	NA	43903	37450	6453	14.7
CN0401900000000	04	019	Pima County, AZ	2010	NA	478743	434106	44637	9.3
CN0402100000000	04	021	Pinal County, AZ	2010	NA	153707	137242	16465	10.7
CN0402300000000	04	023	Santa Cruz County, AZ	2010	NA	20881	17697	3184	15.2
CN0402500000000	04	025	Yavapai County, AZ	2010	NA	96533	86224	10309	10.7
CN0402700000000	04	027	Yuma County, AZ	2010	NA	92816	69500	23316	25.1
CN0500100000000	05	001	Arkansas County, AR	2010	NA	11325	9217	2108	18.6
CN0500300000000	05	003	Ashley County, AR	2010	NA	9896	8916	980	9.9
CN0500500000000	05	005	Baxter County, AR	2010	NA	16593	15033	1560	9.4
CN0500700000000	05	007	Benton County, AR	2010	NA	106975	99853	7122	6.7
CN0500900000000	05	009	Boone County, AR	2010	NA	16497	15204	1293	7.8
CN0501100000000	05	011	Bradley County, AR	2010	NA	5160	4620	540	10.5
CN0501300000000	05	013	Calhoun County, AR	2010	NA	2701	2465	236	8.7
CN0501500000000	05	015	Carroll County, AR	2010	NA	12593	11668	925	7.3
CN0501700000000	05	017	Chicot County, AR	2010	NA	4276	3749	527	12.3
CN0501900000000	05	019	Clark County, AR	2010	NA	10366	9491	875	8.4
CN0502100000000	05	021	Clay County, AR	2010	NA	7469	6649	820	11
CN0502300000000	05	023	Cleburne County, AR	2010	NA	10348	9456	892	8.6
CN0502500000000	05	025	Cleveland County, AR	2010	NA	3883	3557	326	8.4
CN0502700000000	05	027	Columbia County, AR	2010	NA	10518	9469	1049	10
CN0502900000000	05	029	Conway County, AR	2010	NA	9026	8153	873	9.7
CN0503100000000	05	031	Craighead County, AR	2010	NA	47731	44184	3547	7.4
CN0503300000000	05	033	Crawford County, AR	2010	NA	28284	25957	2327	8.2
CN0503500000000	05	035	Crittenden County, AR	2010	NA	22789	20403	2386	10.5
CN0503700000000	05	037	Cross County, AR	2010	NA	8607	7892	715	8.3
CN0503900000000	05	039	Dallas County, AR	2010	NA	3605	3175	430	11.9
CN0504100000000	05	041	Desha County, AR	2010	NA	5899	5244	655	11.1
CN0504300000000	05	043	Drew County, AR	2010	NA	8706	7771	935	10.7
CN0504500000000	05	045	Faulkner County, AR	2010	NA	58631	54385	4246	7.2
CN0504700000000	05	047	Franklin County, AR	2010	NA	7793	7190	603	7.7
CN0504900000000	05	049	Fulton County, AR	2010	NA	5165	4760	405	7.8
CN0505100000000	05	051	Garland County, AR	2010	NA	41507	37990	3517	8.5
CN0505300000000	05	053	Grant County, AR	2010	NA	8556	7949	607	7.1
CN0505500000000	05	055	Greene County, AR	2010	NA	19654	17739	1915	9.7
CN0505700000000	05	057	Hempstead County, AR	2010	NA	10694	9705	989	9.2
CN0505900000000	05	059	Hot Spring County, AR	2010	NA	14222	13003	1219	8.6
CN0506100000000	05	061	Howard County, AR	2010	NA	6572	6064	508	7.7
CN0506300000000	05	063	Independence County, AR	2010	NA	17039	15539	1500	8.8
CN0506500000000	05	065	Izard County, AR	2010	NA	5134	4617	517	10.1
CN0506700000000	05	067	Jackson County, AR	2010	NA	6726	5928	798	11.9
CN0506900000000	05	069	Jefferson County, AR	2010	NA	33928	30393	3535	10.4
CN0507100000000	05	071	Johnson County, AR	2010	NA	10972	10067	905	8.2
CN0507300000000	05	073	Lafayette County, AR	2010	NA	3075	2775	300	9.8
CN0507500000000	05	075	Lawrence County, AR	2010	NA	7436	6728	708	9.5
CN0507700000000	05	077	Lee County, AR	2010	NA	3700	3383	317	8.6
CN0507900000000	05	079	Lincoln County, AR	2010	NA	4693	4252	441	9.4
CN0508100000000	05	081	Little River County, AR	2010	NA	6211	5729	482	7.8
CN0508300000000	05	083	Logan County, AR	2010	NA	9797	8956	841	8.6
CN0508500000000	05	085	Lonoke County, AR	2010	NA	33242	30991	2251	6.8
CN0508700000000	05	087	Madison County, AR	2010	NA	7260	6746	514	7.1
CN0508900000000	05	089	Marion County, AR	2010	NA	6710	6029	681	10.1
CN0509100000000	05	091	Miller County, AR	2010	NA	20532	19336	1196	5.8
CN0509300000000	05	093	Mississippi County, AR	2010	NA	20403	17875	2528	12.4
CN0509500000000	05	095	Monroe County, AR	2010	NA	3411	3096	315	9.2
CN0509700000000	05	097	Montgomery County, AR	2010	NA	3930	3588	342	8.7
CN0509900000000	05	099	Nevada County, AR	2010	NA	4024	3622	402	10
CN0510100000000	05	101	Newton County, AR	2010	NA	3785	3523	262	6.9
CN0510300000000	05	103	Ouachita County, AR	2010	NA	11388	10308	1080	9.5
CN0510500000000	05	105	Perry County, AR	2010	NA	4554	4148	406	8.9
CN0510700000000	05	107	Phillips County, AR	2010	NA	8574	7670	904	10.5
CN0510900000000	05	109	Pike County, AR	2010	NA	4902	4459	443	9
CN0511100000000	05	111	Poinsett County, AR	2010	NA	10723	9722	1001	9.3
CN0511300000000	05	113	Polk County, AR	2010	NA	9007	8337	670	7.4
CN0511500000000	05	115	Pope County, AR	2010	NA	30081	27733	2348	7.8
CN0511700000000	05	117	Prairie County, AR	2010	NA	3965	3600	365	9.2
CN0511900000000	05	119	Pulaski County, AR	2010	NA	189065	175256	13809	7.3
CN0512100000000	05	121	Randolph County, AR	2010	NA	7250	6506	744	10.3
CN0512300000000	05	123	St. Francis County, AR	2010	NA	9820	8774	1046	10.7
CN0512500000000	05	125	Saline County, AR	2010	NA	53309	49751	3558	6.7
CN0512700000000	05	127	Scott County, AR	2010	NA	4753	4418	335	7
CN0512900000000	05	129	Searcy County, AR	2010	NA	3388	3076	312	9.2
CN0513100000000	05	131	Sebastian County, AR	2010	NA	59463	54680	4783	8
CN0513300000000	05	133	Sevier County, AR	2010	NA	7085	6589	496	7
CN0513500000000	05	135	Sharp County, AR	2010	NA	6304	5685	619	9.8
CN0513700000000	05	137	Stone County, AR	2010	NA	5515	5096	419	7.6
CN0513900000000	05	139	Union County, AR	2010	NA	17207	15265	1942	11.3
CN0514100000000	05	141	Van Buren County, AR	2010	NA	6471	5747	724	11.2
CN0514300000000	05	143	Washington County, AR	2010	NA	102724	96021	6703	6.5
CN0514500000000	05	145	White County, AR	2010	NA	36399	33394	3005	8.3
CN0514700000000	05	147	Woodruff County, AR	2010	NA	3625	3246	379	10.5
CN0514900000000	05	149	Yell County, AR	2010	NA	9721	8935	786	8.1
CN0600100000000	06	001	Alameda County, CA	2010	NA	782522	697112	85410	10.9
CN0600300000000	06	003	Alpine County, CA	2010	NA	542	472	70	12.9
CN0600500000000	06	005	Amador County, CA	2010	NA	15507	13326	2181	14.1
CN0600700000000	06	007	Butte County, CA	2010	NA	102568	88322	14246	13.9
CN0600900000000	06	009	Calaveras County, CA	2010	NA	21012	17977	3035	14.4
CN0601100000000	06	011	Colusa County, CA	2010	NA	11519	9118	2401	20.8
CN0601300000000	06	013	Contra Costa County, CA	2010	NA	525547	467914	57633	11
CN0601500000000	06	015	Del Norte County, CA	2010	NA	10931	9489	1442	13.2
CN0601700000000	06	017	El Dorado County, CA	2010	NA	91129	80002	11127	12.2
CN0601900000000	06	019	Fresno County, CA	2010	NA	439593	366221	73372	16.7
CN0602100000000	06	021	Glenn County, CA	2010	NA	13218	11180	2038	15.4
CN0602300000000	06	023	Humboldt County, CA	2010	NA	66061	59084	6977	10.6
CN0602500000000	06	025	Imperial County, CA	2010	NA	78665	55978	22687	28.8
CN0602700000000	06	027	Inyo County, CA	2010	NA	9753	8806	947	9.7
CN0602900000000	06	029	Kern County, CA	2010	NA	371515	313361	58154	15.7
CN0603100000000	06	031	Kings County, CA	2010	NA	59440	49857	9583	16.1
CN0603300000000	06	033	Lake County, CA	2010	NA	29847	25343	4504	15.1
CN0603500000000	06	035	Lassen County, CA	2010	NA	12100	10401	1699	14
CN0603700000000	06	037	Los Angeles County, CA	2010	NA	4917375	4302274	615101	12.5
CN0603900000000	06	039	Madera County, CA	2010	NA	61607	51366	10241	16.6
CN0604100000000	06	041	Marin County, CA	2010	NA	133012	122570	10442	7.9
CN0604300000000	06	043	Mariposa County, CA	2010	NA	8709	7582	1127	12.9
CN0604500000000	06	045	Mendocino County, CA	2010	NA	41601	36772	4829	11.6
CN0604700000000	06	047	Merced County, CA	2010	NA	113579	93191	20388	18
CN0604900000000	06	049	Modoc County, CA	2010	NA	3818	3237	581	15.2
CN0605100000000	06	051	Mono County, CA	2010	NA	8890	7984	906	10.2
CN0605300000000	06	053	Monterey County, CA	2010	NA	215788	188339	27449	12.7
CN0605500000000	06	055	Napa County, CA	2010	NA	70216	62989	7227	10.3
CN0605700000000	06	057	Nevada County, CA	2010	NA	48915	43178	5737	11.7
CN0605900000000	06	059	Orange County, CA	2010	NA	1537187	1387438	149749	9.7
CN0606100000000	06	061	Placer County, CA	2010	NA	173338	153236	20102	11.6
CN0606300000000	06	063	Plumas County, CA	2010	NA	9147	7479	1668	18.2
CN0606500000000	06	065	Riverside County, CA	2010	NA	976444	841285	135159	13.8
CN0606700000000	06	067	Sacramento County, CA	2010	NA	683127	596992	86135	12.6
CN0606900000000	06	069	San Benito County, CA	2010	NA	27906	23691	4215	15.1
CN0607100000000	06	071	San Bernardino County, CA	2010	NA	890278	769890	120388	13.5
CN0607300000000	06	073	San Diego County, CA	2010	NA	1515198	1352266	162932	10.8
CN0607500000000	06	075	San Francisco County/city, CA	2010	NA	486019	442695	43324	8.9
CN0607700000000	06	077	San Joaquin County, CA	2010	NA	311437	259995	51442	16.5
CN0607900000000	06	079	San Luis Obispo County, CA	2010	NA	133651	120209	13442	10.1
CN0608100000000	06	081	San Mateo County, CA	2010	NA	393004	360163	32841	8.4
CN0608300000000	06	083	Santa Barbara County, CA	2010	NA	212267	191680	20587	9.7
CN0608500000000	06	085	Santa Clara County, CA	2010	NA	926525	830114	96411	10.4
CN0608700000000	06	087	Santa Cruz County, CA	2010	NA	141717	122872	18845	13.3
CN0608900000000	06	089	Shasta County, CA	2010	NA	78503	65334	13169	16.8
CN0609100000000	06	091	Sierra County, CA	2010	NA	1611	1364	247	15.3
CN0609300000000	06	093	Siskiyou County, CA	2010	NA	19628	16325	3303	16.8
CN0609500000000	06	095	Solano County, CA	2010	NA	202407	176969	25438	12.6
CN0609700000000	06	097	Sonoma County, CA	2010	NA	244634	218100	26534	10.8
CN0609900000000	06	099	Stanislaus County, CA	2010	NA	243274	202182	41092	16.9
CN0610100000000	06	101	Sutter County, CA	2010	NA	45965	37528	8437	18.4
CN0610300000000	06	103	Tehama County, CA	2010	NA	25714	21754	3960	15.4
CN0610500000000	06	105	Trinity County, CA	2010	NA	5423	4501	922	17
CN0610700000000	06	107	Tulare County, CA	2010	NA	203021	168110	34911	17.2
CN0610900000000	06	109	Tuolumne County, CA	2010	NA	22617	19173	3444	15.2
CN0611100000000	06	111	Ventura County, CA	2010	NA	430010	383424	46586	10.8
CN0611300000000	06	113	Yolo County, CA	2010	NA	102188	89834	12354	12.1
CN0611500000000	06	115	Yuba County, CA	2010	NA	29064	23902	5162	17.8
CN0800100000000	08	001	Adams County, CO	2010	NA	234221	210728	23493	10
CN0800300000000	08	003	Alamosa County, CO	2010	NA	7702	7010	692	9
CN0800500000000	08	005	Arapahoe County, CO	2010	NA	316886	289715	27171	8.6
CN0800700000000	08	007	Archuleta County, CO	2010	NA	5785	5169	616	10.6
CN0800900000000	08	009	Baca County, CO	2010	NA	2084	1982	102	4.9
CN0801100000000	08	011	Bent County, CO	2010	NA	2006	1843	163	8.1
CN0801300000000	08	013	Boulder County, CO	2010	NA	170293	158308	11985	7
CN0801400000000	08	014	Broomfield County/city, CO	2010	NA	31538	29198	2340	7.4
CN0801500000000	08	015	Chaffee County, CO	2010	NA	8270	7634	636	7.7
CN0801700000000	08	017	Cheyenne County, CO	2010	NA	1047	1004	43	4.1
CN0801900000000	08	019	Clear Creek County, CO	2010	NA	5623	5167	456	8.1
CN0802100000000	08	021	Conejos County, CO	2010	NA	3753	3394	359	9.6
CN0802300000000	08	023	Costilla County, CO	2010	NA	1553	1388	165	10.6
CN0802500000000	08	025	Crowley County, CO	2010	NA	1522	1383	139	9.1
CN0802700000000	08	027	Custer County, CO	2010	NA	2078	1940	138	6.6
CN0802900000000	08	029	Delta County, CO	2010	NA	14510	12961	1549	10.7
CN0803100000000	08	031	Denver County/city, CO	2010	NA	347590	315922	31668	9.1
CN0803300000000	08	033	Dolores County, CO	2010	NA	1000	823	177	17.7
CN0803500000000	08	035	Douglas County, CO	2010	NA	157522	146562	10960	7
CN0803700000000	08	037	Eagle County, CO	2010	NA	32447	29697	2750	8.5
CN0803900000000	08	039	Elbert County, CO	2010	NA	12755	11727	1028	8.1
CN0804100000000	08	041	El Paso County, CO	2010	NA	306308	277678	28630	9.3
CN0804300000000	08	043	Fremont County, CO	2010	NA	15825	13973	1852	11.7
CN0804500000000	08	045	Garfield County, CO	2010	NA	31357	28115	3242	10.3
CN0804700000000	08	047	Gilpin County, CO	2010	NA	3327	3060	267	8
CN0804900000000	08	049	Grand County, CO	2010	NA	8950	8165	785	8.8
CN0805100000000	08	051	Gunnison County, CO	2010	NA	10087	9439	648	6.4
CN0805300000000	08	053	Hinsdale County, CO	2010	NA	470	443	27	5.7
CN0805500000000	08	055	Huerfano County, CO	2010	NA	2705	2327	378	14
CN0805700000000	08	057	Jackson County, CO	2010	NA	919	838	81	8.8
CN0805900000000	08	059	Jefferson County, CO	2010	NA	304252	278790	25462	8.4
CN0806100000000	08	061	Kiowa County, CO	2010	NA	779	729	50	6.4
CN0806300000000	08	063	Kit Carson County, CO	2010	NA	4389	4190	199	4.5
CN0806500000000	08	065	Lake County, CO	2010	NA	4372	3891	481	11
CN0806700000000	08	067	La Plata County, CO	2010	NA	29874	27744	2130	7.1
CN0806900000000	08	069	Larimer County, CO	2010	NA	170001	157025	12976	7.6
CN0807100000000	08	071	Las Animas County, CO	2010	NA	7195	6432	763	10.6
CN0807300000000	08	073	Lincoln County, CO	2010	NA	2153	2024	129	6
CN0807500000000	08	075	Logan County, CO	2010	NA	11261	10551	710	6.3
CN0807700000000	08	077	Mesa County, CO	2010	NA	76113	67776	8337	11
CN0807900000000	08	079	Mineral County, CO	2010	NA	416	387	29	7
CN0808100000000	08	081	Moffat County, CO	2010	NA	8078	7277	801	9.9
CN0808300000000	08	083	Montezuma County, CO	2010	NA	13057	11867	1190	9.1
CN0808500000000	08	085	Montrose County, CO	2010	NA	20624	18360	2264	11
CN0808700000000	08	087	Morgan County, CO	2010	NA	14436	13423	1013	7
CN0808900000000	08	089	Otero County, CO	2010	NA	8489	7710	779	9.2
CN0809100000000	08	091	Ouray County, CO	2010	NA	2151	1940	211	9.8
CN0809300000000	08	093	Park County, CO	2010	NA	9641	8856	785	8.1
CN0809500000000	08	095	Phillips County, CO	2010	NA	2197	2081	116	5.3
CN0809700000000	08	097	Pitkin County, CO	2010	NA	10879	10000	879	8.1
CN0809900000000	08	099	Prowers County, CO	2010	NA	6166	5736	430	7
CN0810100000000	08	101	Pueblo County, CO	2010	NA	74396	66667	7729	10.4
CN0810300000000	08	103	Rio Blanco County, CO	2010	NA	3146	2866	280	8.9
CN0810500000000	08	105	Rio Grande County, CO	2010	NA	5209	4655	554	10.6
CN0810700000000	08	107	Routt County, CO	2010	NA	14541	13192	1349	9.3
CN0810900000000	08	109	Saguache County, CO	2010	NA	3066	2755	311	10.1
CN0811100000000	08	111	San Juan County, CO	2010	NA	505	442	63	12.5
CN0811300000000	08	113	San Miguel County, CO	2010	NA	4892	4508	384	7.8
CN0811500000000	08	115	Sedgwick County, CO	2010	NA	1101	1019	82	7.4
CN0811700000000	08	117	Summit County, CO	2010	NA	19126	17837	1289	6.7
CN0811900000000	08	119	Teller County, CO	2010	NA	12354	11198	1156	9.4
CN0812100000000	08	121	Washington County, CO	2010	NA	2590	2437	153	5.9
CN0812300000000	08	123	Weld County, CO	2010	NA	131910	119796	12114	9.2
CN0812500000000	08	125	Yuma County, CO	2010	NA	4928	4651	277	5.6
CN0900100000000	09	001	Fairfield County, CT	2010	NA	473306	433481	39825	8.4
CN0900300000000	09	003	Hartford County, CT	2010	NA	479745	434518	45227	9.4
CN0900500000000	09	005	Litchfield County, CT	2010	NA	108391	98931	9460	8.7
CN0900700000000	09	007	Middlesex County, CT	2010	NA	93317	85965	7352	7.9
CN0900900000000	09	009	New Haven County, CT	2010	NA	461993	415831	46162	10
CN0901100000000	09	011	New London County, CT	2010	NA	143890	131039	12851	8.9
CN0901300000000	09	013	Tolland County, CT	2010	NA	86452	79710	6742	7.8
CN0901500000000	09	015	Windham County, CT	2010	NA	64616	57973	6643	10.3
CN1000100000000	10	001	Kent County, DE	2010	NA	72711	66250	6461	8.9
CN1000300000000	10	003	New Castle County, DE	2010	NA	271575	249148	22427	8.3
CN1000500000000	10	005	Sussex County, DE	2010	NA	90133	82471	7662	8.5
CN1100100000000	11	001	District of Columbia	2010	NA	346065	313508	32557	9.4
CN1200100000000	12	001	Alachua County, FL	2010	NA	128370	118072	10298	8
CN1200300000000	12	003	Baker County, FL	2010	NA	11552	10246	1306	11.3
CN1200500000000	12	005	Bay County, FL	2010	NA	86072	77054	9018	10.5
CN1200700000000	12	007	Bradford County, FL	2010	NA	11587	10444	1143	9.9
CN1200900000000	12	009	Brevard County, FL	2010	NA	265643	235757	29886	11.3
CN1201100000000	12	011	Broward County, FL	2010	NA	936563	841473	95090	10.2
CN1201300000000	12	013	Calhoun County, FL	2010	NA	5314	4777	537	10.1
CN1201500000000	12	015	Charlotte County, FL	2010	NA	66293	57846	8447	12.7
CN1201700000000	12	017	Citrus County, FL	2010	NA	52847	45594	7253	13.7
CN1201900000000	12	019	Clay County, FL	2010	NA	95867	86356	9511	9.9
CN1202100000000	12	021	Collier County, FL	2010	NA	145349	128427	16922	11.6
CN1202300000000	12	023	Columbia County, FL	2010	NA	28788	25669	3119	10.8
CN1202700000000	12	027	DeSoto County, FL	2010	NA	13081	11481	1600	12.2
CN1202900000000	12	029	Dixie County, FL	2010	NA	5749	5008	741	12.9
CN1203100000000	12	031	Duval County, FL	2010	NA	454798	403171	51627	11.4
CN1203300000000	12	033	Escambia County, FL	2010	NA	139913	125755	14158	10.1
CN1203500000000	12	035	Flagler County, FL	2010	NA	41338	36208	5130	12.4
CN1203700000000	12	037	Franklin County, FL	2010	NA	4936	4543	393	8
CN1203900000000	12	039	Gadsden County, FL	2010	NA	20080	17714	2366	11.8
CN1204100000000	12	041	Gilchrist County, FL	2010	NA	6874	6132	742	10.8
CN1204300000000	12	043	Glades County, FL	2010	NA	5544	5017	527	9.5
CN1204500000000	12	045	Gulf County, FL	2010	NA	6232	5591	641	10.3
CN1204700000000	12	047	Hamilton County, FL	2010	NA	4808	4258	550	11.4
CN1204900000000	12	049	Hardee County, FL	2010	NA	11764	10410	1354	11.5
CN1205100000000	12	051	Hendry County, FL	2010	NA	18361	15786	2575	14
