LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2001	NA	21955	21055	900	4.1
CN0100300000000	01	003	Baldwin County, AL	2001	NA	69161	66195	2966	4.3
CN0100500000000	01	005	Barbour County, AL	2001	NA	11250	10412	838	7.4
CN0100700000000	01	007	Bibb County, AL	2001	NA	9081	8468	613	6.8
CN0100900000000	01	009	Blount County, AL	2001	NA	25305	24393	912	3.6
CN0101100000000	01	011	Bullock County, AL	2001	NA	3912	3524	388	9.9
CN0101300000000	01	013	Butler County, AL	2001	NA	9003	8328	675	7.5
CN0101500000000	01	015	Calhoun County, AL	2001	NA	51578	48744	2834	5.5
CN0101700000000	01	017	Chambers County, AL	2001	NA	17424	16481	943	5.4
CN0101900000000	01	019	Cherokee County, AL	2001	NA	11339	10824	515	4.5
CN0102100000000	01	021	Chilton County, AL	2001	NA	19464	18533	931	4.8
CN0102300000000	01	023	Choctaw County, AL	2001	NA	5869	5452	417	7.1
CN0102500000000	01	025	Clarke County, AL	2001	NA	11019	9945	1074	9.7
CN0102700000000	01	027	Clay County, AL	2001	NA	6366	5981	385	6
CN0102900000000	01	029	Cleburne County, AL	2001	NA	6921	6559	362	5.2
CN0103100000000	01	031	Coffee County, AL	2001	NA	19276	18084	1192	6.2
CN0103300000000	01	033	Colbert County, AL	2001	NA	25609	23856	1753	6.8
CN0103500000000	01	035	Conecuh County, AL	2001	NA	5274	4890	384	7.3
CN0103700000000	01	037	Coosa County, AL	2001	NA	5300	4942	358	6.8
CN0103900000000	01	039	Covington County, AL	2001	NA	16846	15782	1064	6.3
CN0104100000000	01	041	Crenshaw County, AL	2001	NA	6000	5641	359	6
CN0104300000000	01	043	Cullman County, AL	2001	NA	37982	36230	1752	4.6
CN0104500000000	01	045	Dale County, AL	2001	NA	20127	19012	1115	5.5
CN0104700000000	01	047	Dallas County, AL	2001	NA	17483	15881	1602	9.2
CN0104900000000	01	049	DeKalb County, AL	2001	NA	32237	30689	1548	4.8
CN0105100000000	01	051	Elmore County, AL	2001	NA	31470	30138	1332	4.2
CN0105300000000	01	053	Escambia County, AL	2001	NA	15537	14585	952	6.1
CN0105500000000	01	055	Etowah County, AL	2001	NA	46764	43689	3075	6.6
CN0105700000000	01	057	Fayette County, AL	2001	NA	8145	7632	513	6.3
CN0105900000000	01	059	Franklin County, AL	2001	NA	13965	12902	1063	7.6
CN0106100000000	01	061	Geneva County, AL	2001	NA	12047	11276	771	6.4
CN0106300000000	01	063	Greene County, AL	2001	NA	3494	3245	249	7.1
CN0106500000000	01	065	Hale County, AL	2001	NA	7019	6513	506	7.2
CN0106700000000	01	067	Henry County, AL	2001	NA	7542	7137	405	5.4
CN0106900000000	01	069	Houston County, AL	2001	NA	44752	42833	1919	4.3
CN0107100000000	01	071	Jackson County, AL	2001	NA	27016	25256	1760	6.5
CN0107300000000	01	073	Jefferson County, AL	2001	NA	325883	311802	14081	4.3
CN0107500000000	01	075	Lamar County, AL	2001	NA	7220	6640	580	8
CN0107700000000	01	077	Lauderdale County, AL	2001	NA	42826	40026	2800	6.5
CN0107900000000	01	079	Lawrence County, AL	2001	NA	16521	15540	981	5.9
CN0108100000000	01	081	Lee County, AL	2001	NA	58218	55832	2386	4.1
CN0108300000000	01	083	Limestone County, AL	2001	NA	33256	31809	1447	4.4
CN0108500000000	01	085	Lowndes County, AL	2001	NA	5011	4650	361	7.2
CN0108700000000	01	087	Macon County, AL	2001	NA	8905	8389	516	5.8
CN0108900000000	01	089	Madison County, AL	2001	NA	149678	143919	5759	3.8
CN0109100000000	01	091	Marengo County, AL	2001	NA	8894	8365	529	5.9
CN0109300000000	01	093	Marion County, AL	2001	NA	12911	11793	1118	8.7
CN0109500000000	01	095	Marshall County, AL	2001	NA	39900	37697	2203	5.5
CN0109700000000	01	097	Mobile County, AL	2001	NA	183762	173439	10323	5.6
CN0109900000000	01	099	Monroe County, AL	2001	NA	9894	9180	714	7.2
CN0110100000000	01	101	Montgomery County, AL	2001	NA	104949	100201	4748	4.5
CN0110300000000	01	103	Morgan County, AL	2001	NA	56248	53372	2876	5.1
CN0110500000000	01	105	Perry County, AL	2001	NA	3873	3448	425	11
CN0110700000000	01	107	Pickens County, AL	2001	NA	8440	7732	708	8.4
CN0110900000000	01	109	Pike County, AL	2001	NA	13524	12806	718	5.3
CN0111100000000	01	111	Randolph County, AL	2001	NA	9927	9306	621	6.3
CN0111300000000	01	113	Russell County, AL	2001	NA	21461	20278	1183	5.5
CN0111500000000	01	115	St. Clair County, AL	2001	NA	31672	30347	1325	4.2
