LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	1991	NA	16928	15777	1151	6.8
CN0100300000000	01	003	Baldwin County, AL	1991	NA	49426	46695	2731	5.5
CN0100500000000	01	005	Barbour County, AL	1991	NA	11628	10608	1020	8.8
CN0100700000000	01	007	Bibb County, AL	1991	NA	7520	6627	893	11.9
CN0100900000000	01	009	Blount County, AL	1991	NA	19132	18021	1111	5.8
CN0101100000000	01	011	Bullock County, AL	1991	NA	4544	3688	856	18.8
CN0101300000000	01	013	Butler County, AL	1991	NA	8709	7648	1061	12.2
CN0101500000000	01	015	Calhoun County, AL	1991	NA	52124	48128	3996	7.7
CN0101700000000	01	017	Chambers County, AL	1991	NA	17542	15787	1755	10
CN0101900000000	01	019	Cherokee County, AL	1991	NA	9610	8786	824	8.6
CN0102100000000	01	021	Chilton County, AL	1991	NA	15218	13702	1516	10
CN0102300000000	01	023	Choctaw County, AL	1991	NA	6704	5997	707	10.5
CN0102500000000	01	025	Clarke County, AL	1991	NA	12077	10930	1147	9.5
CN0102700000000	01	027	Clay County, AL	1991	NA	6495	5860	635	9.8
CN0102900000000	01	029	Cleburne County, AL	1991	NA	6701	6212	489	7.3
CN0103100000000	01	031	Coffee County, AL	1991	NA	19075	17832	1243	6.5
CN0103300000000	01	033	Colbert County, AL	1991	NA	24904	22667	2237	9
CN0103500000000	01	035	Conecuh County, AL	1991	NA	5823	5188	635	10.9
CN0103700000000	01	037	Coosa County, AL	1991	NA	5004	4666	338	6.8
CN0103900000000	01	039	Covington County, AL	1991	NA	16775	15162	1613	9.6
CN0104100000000	01	041	Crenshaw County, AL	1991	NA	6107	5586	521	8.5
CN0104300000000	01	043	Cullman County, AL	1991	NA	33052	30561	2491	7.5
CN0104500000000	01	045	Dale County, AL	1991	NA	20620	19286	1334	6.5
CN0104700000000	01	047	Dallas County, AL	1991	NA	19666	17113	2553	13
CN0104900000000	01	049	DeKalb County, AL	1991	NA	27540	25369	2171	7.9
CN0105100000000	01	051	Elmore County, AL	1991	NA	22721	21201	1520	6.7
CN0105300000000	01	053	Escambia County, AL	1991	NA	15218	13823	1395	9.2
CN0105500000000	01	055	Etowah County, AL	1991	NA	46379	41484	4895	10.6
CN0105700000000	01	057	Fayette County, AL	1991	NA	8474	7573	901	10.6
CN0105900000000	01	059	Franklin County, AL	1991	NA	14201	12855	1346	9.5
CN0106100000000	01	061	Geneva County, AL	1991	NA	11385	10803	582	5.1
CN0106300000000	01	063	Greene County, AL	1991	NA	3789	3355	434	11.5
CN0106500000000	01	065	Hale County, AL	1991	NA	6111	5547	564	9.2
CN0106700000000	01	067	Henry County, AL	1991	NA	6648	6106	542	8.2
CN0106900000000	01	069	Houston County, AL	1991	NA	41159	39022	2137	5.2
CN0107100000000	01	071	Jackson County, AL	1991	NA	24289	21692	2597	10.7
CN0107300000000	01	073	Jefferson County, AL	1991	NA	311177	293991	17186	5.5
CN0107500000000	01	075	Lamar County, AL	1991	NA	7822	7037	785	10
CN0107700000000	01	077	Lauderdale County, AL	1991	NA	38609	35698	2911	7.5
CN0107900000000	01	079	Lawrence County, AL	1991	NA	15365	13858	1507	9.8
CN0108100000000	01	081	Lee County, AL	1991	NA	42976	40416	2560	6
CN0108300000000	01	083	Limestone County, AL	1991	NA	26932	24702	2230	8.3
CN0108500000000	01	085	Lowndes County, AL	1991	NA	4461	3724	737	16.5
CN0108700000000	01	087	Macon County, AL	1991	NA	8911	8082	829	9.3
CN0108900000000	01	089	Madison County, AL	1991	NA	128614	121251	7363	5.7
CN0109100000000	01	091	Marengo County, AL	1991	NA	10165	9378	787	7.7
CN0109300000000	01	093	Marion County, AL	1991	NA	13882	12346	1536	11.1
CN0109500000000	01	095	Marshall County, AL	1991	NA	34989	31555	3434	9.8
CN0109700000000	01	097	Mobile County, AL	1991	NA	176318	163858	12460	7.1
CN0109900000000	01	099	Monroe County, AL	1991	NA	10807	9684	1123	10.4
CN0110100000000	01	101	Montgomery County, AL	1991	NA	99765	93702	6063	6.1
CN0110300000000	01	103	Morgan County, AL	1991	NA	50777	47113	3664	7.2
CN0110500000000	01	105	Perry County, AL	1991	NA	4654	4028	626	13.5
CN0110700000000	01	107	Pickens County, AL	1991	NA	8775	7906	869	9.9
CN0110900000000	01	109	Pike County, AL	1991	NA	12308	11329	979	8
CN0111100000000	01	111	Randolph County, AL	1991	NA	9329	8411	918	9.8
CN0111300000000	01	113	Russell County, AL	1991	NA	21871	20005	1866	8.5
CN0111500000000	01	115	St. Clair County, AL	1991	NA	23970	22496	1474	6.1
CN0111700000000	01	117	Shelby County, AL	1991	NA	54777	52612	2165	4
CN0111900000000	01	119	Sumter County, AL	1991	NA	5913	5267	646	10.9
CN0112100000000	01	121	Talladega County, AL	1991	NA	33671	30515	3156	9.4
CN0112300000000	01	123	Tallapoosa County, AL	1991	NA	19230	18033	1197	6.2
CN0112500000000	01	125	Tuscaloosa County, AL	1991	NA	70361	66651	3710	5.3
CN0112700000000	01	127	Walker County, AL	1991	NA	30059	26513	3546	11.8
CN0112900000000	01	129	Washington County, AL	1991	NA	6362	5505	857	13.5
CN0113100000000	01	131	Wilcox County, AL	1991	NA	3981	3357	624	15.7
CN0113300000000	01	133	Winston County, AL	1991	NA	10435	9113	1322	12.7
CN0201300000000	02	013	Aleutians East Borough, AK	1991	NA	1434	1417	17	1.2
CN0201600000000	02	016	Aleutians West Census Area, AK	1991	NA	3760	3724	36	1
CN0202000000000	02	020	Anchorage Borough/municipality, AK	1991	NA	123222	115028	8194	6.6
CN0205000000000	02	050	Bethel Census Area, AK	1991	NA	4619	4226	393	8.5
CN0206000000000	02	060	Bristol Bay Borough, AK	1991	NA	533	505	28	5.3
CN0206800000000	02	068	Denali Borough, AK	1991	NA	1012	887	125	12.4
