LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2018	NA	26196	25261	935	3.6
CN0100300000000	01	003	Baldwin County, AL	2018	NA	95233	91809	3424	3.6
CN0100500000000	01	005	Barbour County, AL	2018	NA	8414	7987	427	5.1
CN0100700000000	01	007	Bibb County, AL	2018	NA	8605	8268	337	3.9
CN0100900000000	01	009	Blount County, AL	2018	NA	25069	24201	868	3.5
CN0101100000000	01	011	Bullock County, AL	2018	NA	4791	4571	220	4.6
CN0101300000000	01	013	Butler County, AL	2018	NA	8973	8553	420	4.7
CN0101500000000	01	015	Calhoun County, AL	2018	NA	46307	44191	2116	4.6
CN0101700000000	01	017	Chambers County, AL	2018	NA	15366	14775	591	3.8
CN0101900000000	01	019	Cherokee County, AL	2018	NA	11688	11276	412	3.5
CN0102100000000	01	021	Chilton County, AL	2018	NA	19624	18924	700	3.6
CN0102300000000	01	023	Choctaw County, AL	2018	NA	4749	4493	256	5.4
CN0102500000000	01	025	Clarke County, AL	2018	NA	7659	7096	563	7.4
CN0102700000000	01	027	Clay County, AL	2018	NA	6010	5784	226	3.8
CN0102900000000	01	029	Cleburne County, AL	2018	NA	5795	5552	243	4.2
CN0103100000000	01	031	Coffee County, AL	2018	NA	21007	20193	814	3.9
CN0103300000000	01	033	Colbert County, AL	2018	NA	23541	22478	1063	4.5
CN0103500000000	01	035	Conecuh County, AL	2018	NA	4512	4281	231	5.1
CN0103700000000	01	037	Coosa County, AL	2018	NA	4426	4246	180	4.1
CN0103900000000	01	039	Covington County, AL	2018	NA	15652	14945	707	4.5
CN0104100000000	01	041	Crenshaw County, AL	2018	NA	6369	6114	255	4
CN0104300000000	01	043	Cullman County, AL	2018	NA	38113	36879	1234	3.2
CN0104500000000	01	045	Dale County, AL	2018	NA	20257	19424	833	4.1
CN0104700000000	01	047	Dallas County, AL	2018	NA	14880	13927	953	6.4
CN0104900000000	01	049	DeKalb County, AL	2018	NA	30289	29153	1136	3.8
CN0105100000000	01	051	Elmore County, AL	2018	NA	37590	36313	1277	3.4
CN0105300000000	01	053	Escambia County, AL	2018	NA	14423	13780	643	4.5
CN0105500000000	01	055	Etowah County, AL	2018	NA	43252	41502	1750	4
CN0105700000000	01	057	Fayette County, AL	2018	NA	6529	6267	262	4
CN0105900000000	01	059	Franklin County, AL	2018	NA	14291	13768	523	3.7
CN0106100000000	01	061	Geneva County, AL	2018	NA	10872	10450	422	3.9
CN0106300000000	01	063	Greene County, AL	2018	NA	2860	2672	188	6.6
CN0106500000000	01	065	Hale County, AL	2018	NA	5979	5680	299	5
CN0106700000000	01	067	Henry County, AL	2018	NA	6830	6531	299	4.4
CN0106900000000	01	069	Houston County, AL	2018	NA	45580	43764	1816	4
CN0107100000000	01	071	Jackson County, AL	2018	NA	23412	22468	944	4
CN0107300000000	01	073	Jefferson County, AL	2018	NA	315793	304248	11545	3.7
CN0107500000000	01	075	Lamar County, AL	2018	NA	5743	5528	215	3.7
CN0107700000000	01	077	Lauderdale County, AL	2018	NA	42390	40644	1746	4.1
CN0107900000000	01	079	Lawrence County, AL	2018	NA	14044	13469	575	4.1
CN0108100000000	01	081	Lee County, AL	2018	NA	75243	72541	2702	3.6
CN0108300000000	01	083	Limestone County, AL	2018	NA	42979	41472	1507	3.5
CN0108500000000	01	085	Lowndes County, AL	2018	NA	3614	3354	260	7.2
CN0108700000000	01	087	Macon County, AL	2018	NA	7862	7442	420	5.3
CN0108900000000	01	089	Madison County, AL	2018	NA	181565	175352	6213	3.4
CN0109100000000	01	091	Marengo County, AL	2018	NA	7608	7237	371	4.9
CN0109300000000	01	093	Marion County, AL	2018	NA	12621	12114	507	4
