LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2008	NA	24687	23420	1267	5.1
CN0100300000000	01	003	Baldwin County, AL	2008	NA	83223	79372	3851	4.6
CN0100500000000	01	005	Barbour County, AL	2008	NA	10161	9267	894	8.8
CN0100700000000	01	007	Bibb County, AL	2008	NA	8749	8241	508	5.8
CN0100900000000	01	009	Blount County, AL	2008	NA	26698	25453	1245	4.7
CN0101100000000	01	011	Bullock County, AL	2008	NA	3634	3251	383	10.5
CN0101300000000	01	013	Butler County, AL	2008	NA	9051	8278	773	8.5
CN0101500000000	01	015	Calhoun County, AL	2008	NA	54564	51468	3096	5.7
CN0101700000000	01	017	Chambers County, AL	2008	NA	15012	12848	2164	14.4
CN0101900000000	01	019	Cherokee County, AL	2008	NA	11996	11308	688	5.7
CN0102100000000	01	021	Chilton County, AL	2008	NA	19610	18618	992	5.1
CN0102300000000	01	023	Choctaw County, AL	2008	NA	5069	4646	423	8.3
CN0102500000000	01	025	Clarke County, AL	2008	NA	10351	9419	932	9
CN0102700000000	01	027	Clay County, AL	2008	NA	5733	5279	454	7.9
CN0102900000000	01	029	Cleburne County, AL	2008	NA	6557	6225	332	5.1
CN0103100000000	01	031	Coffee County, AL	2008	NA	20911	19897	1014	4.8
CN0103300000000	01	033	Colbert County, AL	2008	NA	25160	23523	1637	6.5
CN0103500000000	01	035	Conecuh County, AL	2008	NA	4878	4421	457	9.4
CN0103700000000	01	037	Coosa County, AL	2008	NA	4659	4274	385	8.3
CN0103900000000	01	039	Covington County, AL	2008	NA	16800	15803	997	5.9
CN0104100000000	01	041	Crenshaw County, AL	2008	NA	6464	6105	359	5.6
CN0104300000000	01	043	Cullman County, AL	2008	NA	39096	37188	1908	4.9
CN0104500000000	01	045	Dale County, AL	2008	NA	19832	18760	1072	5.4
CN0104700000000	01	047	Dallas County, AL	2008	NA	15473	13758	1715	11.1
CN0104900000000	01	049	DeKalb County, AL	2008	NA	30682	28895	1787	5.8
CN0105100000000	01	051	Elmore County, AL	2008	NA	36220	34371	1849	5.1
CN0105300000000	01	053	Escambia County, AL	2008	NA	14412	13321	1091	7.6
CN0105500000000	01	055	Etowah County, AL	2008	NA	45727	42995	2732	6
CN0105700000000	01	057	Fayette County, AL	2008	NA	7118	6604	514	7.2
CN0105900000000	01	059	Franklin County, AL	2008	NA	13380	12387	993	7.4
CN0106100000000	01	061	Geneva County, AL	2008	NA	11337	10717	620	5.5
CN0106300000000	01	063	Greene County, AL	2008	NA	3280	3001	279	8.5
CN0106500000000	01	065	Hale County, AL	2008	NA	6991	6473	518	7.4
CN0106700000000	01	067	Henry County, AL	2008	NA	7376	6807	569	7.7
CN0106900000000	01	069	Houston County, AL	2008	NA	46452	44180	2272	4.9
CN0107100000000	01	071	Jackson County, AL	2008	NA	26857	25201	1656	6.2
CN0107300000000	01	073	Jefferson County, AL	2008	NA	311615	294792	16823	5.4
CN0107500000000	01	075	Lamar County, AL	2008	NA	5692	5237	455	8
CN0107700000000	01	077	Lauderdale County, AL	2008	NA	42873	40408	2465	5.7
CN0107900000000	01	079	Lawrence County, AL	2008	NA	15867	14837	1030	6.5
CN0108100000000	01	081	Lee County, AL	2008	NA	65189	61795	3394	5.2
CN0108300000000	01	083	Limestone County, AL	2008	NA	37427	35664	1763	4.7
CN0108500000000	01	085	Lowndes County, AL	2008	NA	4851	4322	529	10.9
CN0108700000000	01	087	Macon County, AL	2008	NA	9104	8426	678	7.4
CN0108900000000	01	089	Madison County, AL	2008	NA	168340	161326	7014	4.2
CN0109100000000	01	091	Marengo County, AL	2008	NA	7979	7389	590	7.4
CN0109300000000	01	093	Marion County, AL	2008	NA	12715	11701	1014	8
CN0109500000000	01	095	Marshall County, AL	2008	NA	41700	39720	1980	4.7
CN0109700000000	01	097	Mobile County, AL	2008	NA	187266	176623	10643	5.7
CN0109900000000	01	099	Monroe County, AL	2008	NA	8789	7896	893	10.2
CN0110100000000	01	101	Montgomery County, AL	2008	NA	106155	99875	6280	5.9
CN0110300000000	01	103	Morgan County, AL	2008	NA	56997	54014	2983	5.2
CN0110500000000	01	105	Perry County, AL	2008	NA	3592	3186	406	11.3
CN0110700000000	01	107	Pickens County, AL	2008	NA	7925	7359	566	7.1
CN0110900000000	01	109	Pike County, AL	2008	NA	15805	15034	771	4.9
CN0111100000000	01	111	Randolph County, AL	2008	NA	9609	8905	704	7.3
CN0111300000000	01	113	Russell County, AL	2008	NA	21693	19959	1734	8
CN0111500000000	01	115	St. Clair County, AL	2008	NA	36482	34651	1831	5
CN0111700000000	01	117	Shelby County, AL	2008	NA	101156	97375	3781	3.7
CN0111900000000	01	119	Sumter County, AL	2008	NA	4721	4308	413	8.7
CN0112100000000	01	121	Talladega County, AL	2008	NA	38278	35519	2759	7.2
CN0112300000000	01	123	Tallapoosa County, AL	2008	NA	18179	16875	1304	7.2
CN0112500000000	01	125	Tuscaloosa County, AL	2008	NA	89185	84978	4207	4.7
CN0112700000000	01	127	Walker County, AL	2008	NA	28758	27113	1645	5.7
CN0112900000000	01	129	Washington County, AL	2008	NA	6883	6302	581	8.4
CN0113100000000	01	131	Wilcox County, AL	2008	NA	3482	2996	486	14
CN0113300000000	01	133	Winston County, AL	2008	NA	9984	9120	864	8.7
CN0201300000000	02	013	Aleutians East Borough, AK	2008	NA	1144	1045	99	8.7
CN0201600000000	02	016	Aleutians West Census Area, AK	2008	NA	3061	2883	178	5.8
CN0202000000000	02	020	Anchorage Borough/municipality, AK	2008	NA	152111	143835	8276	5.4
CN0205000000000	02	050	Bethel Census Area, AK	2008	NA	6935	5972	963	13.9
CN0206000000000	02	060	Bristol Bay Borough, AK	2008	NA	1009	960	49	4.9
CN0206800000000	02	068	Denali Borough, AK	2008	NA	1606	1508	98	6.1
CN0207000000000	02	070	Dillingham Census Area, AK	2008	NA	2068	1875	193	9.3
CN0209000000000	02	090	Fairbanks North Star Borough, AK	2008	NA	45993	43198	2795	6.1
CN0210000000000	02	100	Haines Borough, AK	2008	NA	1358	1238	120	8.8
CN0211000000000	02	110	Juneau Borough/city, AK	2008	NA	18784	17882	902	4.8
CN0212200000000	02	122	Kenai Peninsula Borough, AK	2008	NA	26330	24176	2154	8.2
CN0213000000000	02	130	Ketchikan Gateway Borough, AK	2008	NA	8297	7805	492	5.9
CN0215000000000	02	150	Kodiak Island Borough, AK	2008	NA	6399	5961	438	6.8
CN0215800000000	02	158	Kusilvak Census Area, AK	2008	NA	2616	2078	538	20.6
CN0216400000000	02	164	Lake and Peninsula Borough, AK	2008	NA	1137	1059	78	6.9
CN0217000000000	02	170	Matanuska-Susitna Borough, AK	2008	NA	41532	38372	3160	7.6
CN0218000000000	02	180	Nome Census Area, AK	2008	NA	3991	3577	414	10.4
CN0218500000000	02	185	North Slope Borough, AK	2008	NA	5145	4927	218	4.2
CN0218800000000	02	188	Northwest Arctic Borough, AK	2008	NA	2982	2637	345	11.6
CN0220100000000	02	201	Prince of Wales-Outer Ketchikan Census Area, AK	2008	NA	2338	2015	323	13.8
