LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	1997	NA	21098	20269	829	3.9
CN0100300000000	01	003	Baldwin County, AL	1997	NA	67150	64799	2351	3.5
CN0100500000000	01	005	Barbour County, AL	1997	NA	12484	11565	919	7.4
CN0100700000000	01	007	Bibb County, AL	1997	NA	8039	7436	603	7.5
CN0100900000000	01	009	Blount County, AL	1997	NA	22684	22003	681	3
CN0101100000000	01	011	Bullock County, AL	1997	NA	4586	4108	478	10.4
CN0101300000000	01	013	Butler County, AL	1997	NA	9918	8940	978	9.9
CN0101500000000	01	015	Calhoun County, AL	1997	NA	54241	51234	3007	5.5
CN0101700000000	01	017	Chambers County, AL	1997	NA	17033	16245	788	4.6
CN0101900000000	01	019	Cherokee County, AL	1997	NA	10737	10298	439	4.1
CN0102100000000	01	021	Chilton County, AL	1997	NA	18259	17360	899	4.9
CN0102300000000	01	023	Choctaw County, AL	1997	NA	5985	5114	871	14.6
CN0102500000000	01	025	Clarke County, AL	1997	NA	14584	13147	1437	9.9
CN0102700000000	01	027	Clay County, AL	1997	NA	6705	6398	307	4.6
CN0102900000000	01	029	Cleburne County, AL	1997	NA	7270	7013	257	3.5
CN0103100000000	01	031	Coffee County, AL	1997	NA	22005	21127	878	4
CN0103300000000	01	033	Colbert County, AL	1997	NA	27064	25117	1947	7.2
CN0103500000000	01	035	Conecuh County, AL	1997	NA	6760	6051	709	10.5
CN0103700000000	01	037	Coosa County, AL	1997	NA	5320	5086	234	4.4
CN0103900000000	01	039	Covington County, AL	1997	NA	17666	16468	1198	6.8
CN0104100000000	01	041	Crenshaw County, AL	1997	NA	5932	5442	490	8.3
CN0104300000000	01	043	Cullman County, AL	1997	NA	38577	36969	1608	4.2
CN0104500000000	01	045	Dale County, AL	1997	NA	21211	20044	1167	5.5
CN0104700000000	01	047	Dallas County, AL	1997	NA	20245	18010	2235	11
CN0104900000000	01	049	DeKalb County, AL	1997	NA	32164	30497	1667	5.2
CN0105100000000	01	051	Elmore County, AL	1997	NA	28481	27449	1032	3.6
CN0105300000000	01	053	Escambia County, AL	1997	NA	16896	15788	1108	6.6
CN0105500000000	01	055	Etowah County, AL	1997	NA	49449	46921	2528	5.1
CN0105700000000	01	057	Fayette County, AL	1997	NA	8641	8219	422	4.9
CN0105900000000	01	059	Franklin County, AL	1997	NA	16841	15422	1419	8.4
CN0106100000000	01	061	Geneva County, AL	1997	NA	12045	11338	707	5.9
CN0106300000000	01	063	Greene County, AL	1997	NA	3507	2855	652	18.6
CN0106500000000	01	065	Hale County, AL	1997	NA	7392	6823	569	7.7
CN0106700000000	01	067	Henry County, AL	1997	NA	6456	6087	369	5.7
CN0106900000000	01	069	Houston County, AL	1997	NA	44543	42577	1966	4.4
CN0107100000000	01	071	Jackson County, AL	1997	NA	26010	23884	2126	8.2
CN0107300000000	01	073	Jefferson County, AL	1997	NA	333502	321342	12160	3.6
CN0107500000000	01	075	Lamar County, AL	1997	NA	7762	7106	656	8.5
CN0107700000000	01	077	Lauderdale County, AL	1997	NA	43181	40531	2650	6.1
CN0107900000000	01	079	Lawrence County, AL	1997	NA	16130	15060	1070	6.6
CN0108100000000	01	081	Lee County, AL	1997	NA	49626	47760	1866	3.8
CN0108300000000	01	083	Limestone County, AL	1997	NA	28289	27168	1121	4
CN0108500000000	01	085	Lowndes County, AL	1997	NA	4332	3711	621	14.3
CN0108700000000	01	087	Macon County, AL	1997	NA	8029	7383	646	8
CN0108900000000	01	089	Madison County, AL	1997	NA	139304	135261	4043	2.9
CN0109100000000	01	091	Marengo County, AL	1997	NA	10991	9887	1104	10
CN0109300000000	01	093	Marion County, AL	1997	NA	16115	14820	1295	8
CN0109500000000	01	095	Marshall County, AL	1997	NA	40409	38174	2235	5.5
CN0109700000000	01	097	Mobile County, AL	1997	NA	197965	187476	10489	5.3
CN0109900000000	01	099	Monroe County, AL	1997	NA	10231	8685	1546	15.1
CN0110100000000	01	101	Montgomery County, AL	1997	NA	109850	105063	4787	4.4
CN0110300000000	01	103	Morgan County, AL	1997	NA	55021	52419	2602	4.7
CN0110500000000	01	105	Perry County, AL	1997	NA	4505	4045	460	10.2
CN0110700000000	01	107	Pickens County, AL	1997	NA	8824	8131	693	7.9
CN0110900000000	01	109	Pike County, AL	1997	NA	13437	12538	899	6.7
