LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2003	NA	22604	21462	1142	5.1
CN0100300000000	01	003	Baldwin County, AL	2003	NA	72299	68702	3597	5
CN0100500000000	01	005	Barbour County, AL	2003	NA	10977	10196	781	7.1
CN0100700000000	01	007	Bibb County, AL	2003	NA	8836	8309	527	6
CN0100900000000	01	009	Blount County, AL	2003	NA	25900	24702	1198	4.6
CN0101100000000	01	011	Bullock County, AL	2003	NA	3979	3540	439	11
CN0101300000000	01	013	Butler County, AL	2003	NA	9183	8386	797	8.7
CN0101500000000	01	015	Calhoun County, AL	2003	NA	52817	49673	3144	6
CN0101700000000	01	017	Chambers County, AL	2003	NA	16829	15745	1084	6.4
CN0101900000000	01	019	Cherokee County, AL	2003	NA	11929	11342	587	4.9
CN0102100000000	01	021	Chilton County, AL	2003	NA	19478	18499	979	5
CN0102300000000	01	023	Choctaw County, AL	2003	NA	5651	5085	566	10
CN0102500000000	01	025	Clarke County, AL	2003	NA	10769	9839	930	8.6
CN0102700000000	01	027	Clay County, AL	2003	NA	5923	5492	431	7.3
CN0102900000000	01	029	Cleburne County, AL	2003	NA	6672	6267	405	6.1
CN0103100000000	01	031	Coffee County, AL	2003	NA	19932	18834	1098	5.5
CN0103300000000	01	033	Colbert County, AL	2003	NA	24562	22720	1842	7.5
CN0103500000000	01	035	Conecuh County, AL	2003	NA	5149	4707	442	8.6
CN0103700000000	01	037	Coosa County, AL	2003	NA	5056	4641	415	8.2
CN0103900000000	01	039	Covington County, AL	2003	NA	17322	16110	1212	7
CN0104100000000	01	041	Crenshaw County, AL	2003	NA	5920	5517	403	6.8
CN0104300000000	01	043	Cullman County, AL	2003	NA	38276	36045	2231	5.8
CN0104500000000	01	045	Dale County, AL	2003	NA	20546	19457	1089	5.3
CN0104700000000	01	047	Dallas County, AL	2003	NA	16783	14878	1905	11.4
CN0104900000000	01	049	DeKalb County, AL	2003	NA	32218	30363	1855	5.8
CN0105100000000	01	051	Elmore County, AL	2003	NA	32603	30929	1674	5.1
CN0105300000000	01	053	Escambia County, AL	2003	NA	14644	13379	1265	8.6
CN0105500000000	01	055	Etowah County, AL	2003	NA	46388	43351	3037	6.5
CN0105700000000	01	057	Fayette County, AL	2003	NA	8048	7490	558	6.9
CN0105900000000	01	059	Franklin County, AL	2003	NA	13561	12265	1296	9.6
CN0106100000000	01	061	Geneva County, AL	2003	NA	11722	11065	657	5.6
CN0106300000000	01	063	Greene County, AL	2003	NA	3504	3205	299	8.5
CN0106500000000	01	065	Hale County, AL	2003	NA	7086	6485	601	8.5
CN0106700000000	01	067	Henry County, AL	2003	NA	7494	7059	435	5.8
CN0106900000000	01	069	Houston County, AL	2003	NA	45185	42984	2201	4.9
CN0107100000000	01	071	Jackson County, AL	2003	NA	27187	25272	1915	7
CN0107300000000	01	073	Jefferson County, AL	2003	NA	321042	303282	17760	5.5
CN0107500000000	01	075	Lamar County, AL	2003	NA	6691	6104	587	8.8
CN0107700000000	01	077	Lauderdale County, AL	2003	NA	41196	38184	3012	7.3
CN0107900000000	01	079	Lawrence County, AL	2003	NA	15788	14728	1060	6.7
CN0108100000000	01	081	Lee County, AL	2003	NA	60597	57747	2850	4.7
CN0108300000000	01	083	Limestone County, AL	2003	NA	33924	32046	1878	5.5
CN0108500000000	01	085	Lowndes County, AL	2003	NA	5021	4557	464	9.2
CN0108700000000	01	087	Macon County, AL	2003	NA	8522	7924	598	7
CN0108900000000	01	089	Madison County, AL	2003	NA	154255	146915	7340	4.8
CN0109100000000	01	091	Marengo County, AL	2003	NA	8999	8431	568	6.3
CN0109300000000	01	093	Marion County, AL	2003	NA	13071	12130	941	7.2
CN0109500000000	01	095	Marshall County, AL	2003	NA	40587	38316	2271	5.6
CN0109700000000	01	097	Mobile County, AL	2003	NA	180242	167696	12546	7
CN0109900000000	01	099	Monroe County, AL	2003	NA	9417	8627	790	8.4
CN0110100000000	01	101	Montgomery County, AL	2003	NA	104505	98402	6103	5.8
CN0110300000000	01	103	Morgan County, AL	2003	NA	55227	51605	3622	6.6
CN0110500000000	01	105	Perry County, AL	2003	NA	3843	3432	411	10.7
CN0110700000000	01	107	Pickens County, AL	2003	NA	8138	7475	663	8.1
CN0110900000000	01	109	Pike County, AL	2003	NA	14397	13556	841	5.8
CN0111100000000	01	111	Randolph County, AL	2003	NA	9791	9061	730	7.5
CN0111300000000	01	113	Russell County, AL	2003	NA	21870	20224	1646	7.5
CN0111500000000	01	115	St. Clair County, AL	2003	NA	32291	30607	1684	5.2
CN0111700000000	01	117	Shelby County, AL	2003	NA	88275	85144	3131	3.5
CN0111900000000	01	119	Sumter County, AL	2003	NA	5110	4594	516	10.1
CN0112100000000	01	121	Talladega County, AL	2003	NA	38205	35246	2959	7.7
CN0112300000000	01	123	Tallapoosa County, AL	2003	NA	18456	17174	1282	6.9
CN0112500000000	01	125	Tuscaloosa County, AL	2003	NA	82091	78055	4036	4.9
CN0112700000000	01	127	Walker County, AL	2003	NA	30327	28360	1967	6.5
CN0112900000000	01	129	Washington County, AL	2003	NA	7103	6362	741	10.4
CN0113100000000	01	131	Wilcox County, AL	2003	NA	3818	3345	473	12.4
CN0113300000000	01	133	Winston County, AL	2003	NA	10407	9418	989	9.5
CN0201300000000	02	013	Aleutians East Borough, AK	2003	NA	1010	911	99	9.8
CN0201600000000	02	016	Aleutians West Census Area, AK	2003	NA	2931	2743	188	6.4
CN0202000000000	02	020	Anchorage Borough/municipality, AK	2003	NA	145428	136227	9201	6.3
CN0205000000000	02	050	Bethel Census Area, AK	2003	NA	7059	6192	867	12.3
CN0206000000000	02	060	Bristol Bay Borough, AK	2003	NA	971	910	61	6.3
CN0206800000000	02	068	Denali Borough, AK	2003	NA	1408	1283	125	8.9
CN0207000000000	02	070	Dillingham Census Area, AK	2003	NA	1923	1708	215	11.2
CN0209000000000	02	090	Fairbanks North Star Borough, AK	2003	NA	42599	39603	2996	7
CN0210000000000	02	100	Haines Borough, AK	2003	NA	1360	1200	160	11.8
CN0211000000000	02	110	Juneau Borough/city, AK	2003	NA	18058	17005	1053	5.8
CN0212200000000	02	122	Kenai Peninsula Borough, AK	2003	NA	25039	22476	2563	10.2
CN0213000000000	02	130	Ketchikan Gateway Borough, AK	2003	NA	7789	7156	633	8.1
CN0215000000000	02	150	Kodiak Island Borough, AK	2003	NA	5961	5377	584	9.8
CN0215800000000	02	158	Kusilvak Census Area, AK	2003	NA	2656	2176	480	18.1
CN0216400000000	02	164	Lake and Peninsula Borough, AK	2003	NA	942	865	77	8.2
CN0217000000000	02	170	Matanuska-Susitna Borough, AK	2003	NA	32820	29928	2892	8.8
CN0218000000000	02	180	Nome Census Area, AK	2003	NA	3913	3486	427	10.9
CN0218500000000	02	185	North Slope Borough, AK	2003	NA	3701	3318	383	10.3
CN0218800000000	02	188	Northwest Arctic Borough, AK	2003	NA	2979	2584	395	13.3
CN0220100000000	02	201	Prince of Wales-Outer Ketchikan Census Area, AK	2003	NA	2451	2092	359	14.6
CN0222000000000	02	220	Sitka Borough/city, AK	2003	NA	4664	4373	291	6.2
CN0223200000000	02	232	Skagway-Hoonah-Angoon Census Area, AK	2003	NA	1876	1651	225	12
CN0224000000000	02	240	Southeast Fairbanks Census Area, AK	2003	NA	2506	2180	326	13
CN0226100000000	02	261	Valdez-Cordova Census Area, AK	2003	NA	5375	4829	546	10.2
CN0228000000000	02	280	Wrangell-Petersburg Census Area, AK	2003	NA	3011	2642	369	12.3
CN0228200000000	02	282	Yakutat Borough/city, AK	2003	NA	302	268	34	11.3
CN0229000000000	02	290	Yukon-Koyukuk Census Area, AK	2003	NA	2941	2542	399	13.6
CN0400100000000	04	001	Apache County, AZ	2003	NA	20638	18198	2440	11.8
CN0400300000000	04	003	Cochise County, AZ	2003	NA	54049	50985	3064	5.7
CN0400500000000	04	005	Coconino County, AZ	2003	NA	65739	61985	3754	5.7
CN0400700000000	04	007	Gila County, AZ	2003	NA	21039	19511	1528	7.3
CN0400900000000	04	009	Graham County, AZ	2003	NA	12170	11320	850	7
CN0401100000000	04	011	Greenlee County, AZ	2003	NA	3531	3285	246	7
CN0401200000000	04	012	La Paz County, AZ	2003	NA	7451	6925	526	7.1
CN0401300000000	04	013	Maricopa County, AZ	2003	NA	1749197	1658323	90874	5.2
CN0401500000000	04	015	Mohave County, AZ	2003	NA	82110	78073	4037	4.9
CN0401700000000	04	017	Navajo County, AZ	2003	NA	38252	34962	3290	8.6
CN0401900000000	04	019	Pima County, AZ	2003	NA	429349	406481	22868	5.3
CN0402100000000	04	021	Pinal County, AZ	2003	NA	78892	73375	5517	7
CN0402300000000	04	023	Santa Cruz County, AZ	2003	NA	15707	14208	1499	9.5
CN0402500000000	04	025	Yavapai County, AZ	2003	NA	85008	80664	4344	5.1
CN0402700000000	04	027	Yuma County, AZ	2003	NA	72869	60560	12309	16.9
CN0500100000000	05	001	Arkansas County, AR	2003	NA	10716	10120	596	5.6
CN0500300000000	05	003	Ashley County, AR	2003	NA	9989	9040	949	9.5
CN0500500000000	05	005	Baxter County, AR	2003	NA	15939	14871	1068	6.7
CN0500700000000	05	007	Benton County, AR	2003	NA	87883	84706	3177	3.6
CN0500900000000	05	009	Boone County, AR	2003	NA	16050	15113	937	5.8
CN0501100000000	05	011	Bradley County, AR	2003	NA	5488	5089	399	7.3
CN0501300000000	05	013	Calhoun County, AR	2003	NA	2537	2336	201	7.9
CN0501500000000	05	015	Carroll County, AR	2003	NA	13223	12581	642	4.9
CN0501700000000	05	017	Chicot County, AR	2003	NA	5174	4626	548	10.6
CN0501900000000	05	019	Clark County, AR	2003	NA	11145	10428	717	6.4
CN0502100000000	05	021	Clay County, AR	2003	NA	7491	6882	609	8.1
CN0502300000000	05	023	Cleburne County, AR	2003	NA	10900	10278	622	5.7
CN0502500000000	05	025	Cleveland County, AR	2003	NA	3969	3721	248	6.2
CN0502700000000	05	027	Columbia County, AR	2003	NA	10697	9970	727	6.8
CN0502900000000	05	029	Conway County, AR	2003	NA	9596	8993	603	6.3
CN0503100000000	05	031	Craighead County, AR	2003	NA	42858	40458	2400	5.6
CN0503300000000	05	033	Crawford County, AR	2003	NA	25250	23893	1357	5.4
CN0503500000000	05	035	Crittenden County, AR	2003	NA	21317	19869	1448	6.8
CN0503700000000	05	037	Cross County, AR	2003	NA	8681	8030	651	7.5
CN0503900000000	05	039	Dallas County, AR	2003	NA	3821	3516	305	8
CN0504100000000	05	041	Desha County, AR	2003	NA	6162	5607	555	9
CN0504300000000	05	043	Drew County, AR	2003	NA	8514	7837	677	8
CN0504500000000	05	045	Faulkner County, AR	2003	NA	47763	45147	2616	5.5
CN0504700000000	05	047	Franklin County, AR	2003	NA	7971	7581	390	4.9
CN0504900000000	05	049	Fulton County, AR	2003	NA	4966	4654	312	6.3
CN0505100000000	05	051	Garland County, AR	2003	NA	39209	36682	2527	6.4
CN0505300000000	05	053	Grant County, AR	2003	NA	8096	7641	455	5.6
CN0505500000000	05	055	Greene County, AR	2003	NA	17113	15956	1157	6.8
CN0505700000000	05	057	Hempstead County, AR	2003	NA	11068	10473	595	5.4
CN0505900000000	05	059	Hot Spring County, AR	2003	NA	14214	13260	954	6.7
CN0506100000000	05	061	Howard County, AR	2003	NA	6528	6132	396	6.1
CN0506300000000	05	063	Independence County, AR	2003	NA	17007	15905	1102	6.5
CN0506500000000	05	065	Izard County, AR	2003	NA	5206	4794	412	7.9
CN0506700000000	05	067	Jackson County, AR	2003	NA	7781	7080	701	9
CN0506900000000	05	069	Jefferson County, AR	2003	NA	35724	32855	2869	8
CN0507100000000	05	071	Johnson County, AR	2003	NA	10649	10064	585	5.5
CN0507300000000	05	073	Lafayette County, AR	2003	NA	3369	3167	202	6
CN0507500000000	05	075	Lawrence County, AR	2003	NA	7720	7060	660	8.5
CN0507700000000	05	077	Lee County, AR	2003	NA	3664	3237	427	11.7
CN0507900000000	05	079	Lincoln County, AR	2003	NA	5074	4660	414	8.2
CN0508100000000	05	081	Little River County, AR	2003	NA	6398	6084	314	4.9
CN0508300000000	05	083	Logan County, AR	2003	NA	9938	9372	566	5.7
CN0508500000000	05	085	Lonoke County, AR	2003	NA	27489	26153	1336	4.9
CN0508700000000	05	087	Madison County, AR	2003	NA	7175	6890	285	4
CN0508900000000	05	089	Marion County, AR	2003	NA	6498	6075	423	6.5
CN0509100000000	05	091	Miller County, AR	2003	NA	18224	17296	928	5.1
CN0509300000000	05	093	Mississippi County, AR	2003	NA	20220	17797	2423	12
CN0509500000000	05	095	Monroe County, AR	2003	NA	3968	3668	300	7.6
CN0509700000000	05	097	Montgomery County, AR	2003	NA	4249	4010	239	5.6
CN0509900000000	05	099	Nevada County, AR	2003	NA	4493	4265	228	5.1
CN0510100000000	05	101	Newton County, AR	2003	NA	3615	3404	211	5.8
CN0510300000000	05	103	Ouachita County, AR	2003	NA	12085	11122	963	8
CN0510500000000	05	105	Perry County, AR	2003	NA	4778	4446	332	6.9
CN0510700000000	05	107	Phillips County, AR	2003	NA	9175	8367	808	8.8
CN0510900000000	05	109	Pike County, AR	2003	NA	5189	4904	285	5.5
CN0511100000000	05	111	Poinsett County, AR	2003	NA	11200	10370	830	7.4
CN0511300000000	05	113	Polk County, AR	2003	NA	8587	7925	662	7.7
CN0511500000000	05	115	Pope County, AR	2003	NA	26555	25020	1535	5.8
CN0511700000000	05	117	Prairie County, AR	2003	NA	4457	4221	236	5.3
CN0511900000000	05	119	Pulaski County, AR	2003	NA	181174	171643	9531	5.3
CN0512100000000	05	121	Randolph County, AR	2003	NA	7838	7087	751	9.6
CN0512300000000	05	123	St. Francis County, AR	2003	NA	10823	9805	1018	9.4
CN0512500000000	05	125	Saline County, AR	2003	NA	43406	41275	2131	4.9
CN0512700000000	05	127	Scott County, AR	2003	NA	4706	4477	229	4.9
CN0512900000000	05	129	Searcy County, AR	2003	NA	3373	3184	189	5.6
CN0513100000000	05	131	Sebastian County, AR	2003	NA	56011	53227	2784	5
CN0513300000000	05	133	Sevier County, AR	2003	NA	7396	7048	348	4.7
CN0513500000000	05	135	Sharp County, AR	2003	NA	6401	5845	556	8.7
CN0513700000000	05	137	Stone County, AR	2003	NA	4479	4138	341	7.6
CN0513900000000	05	139	Union County, AR	2003	NA	19714	18137	1577	8
CN0514100000000	05	141	Van Buren County, AR	2003	NA	6812	6320	492	7.2
CN0514300000000	05	143	Washington County, AR	2003	NA	90430	86944	3486	3.9
CN0514500000000	05	145	White County, AR	2003	NA	30761	28791	1970	6.4
CN0514700000000	05	147	Woodruff County, AR	2003	NA	3774	3408	366	9.7
CN0514900000000	05	149	Yell County, AR	2003	NA	9793	9273	520	5.3
CN0600100000000	06	001	Alameda County, CA	2003	NA	754375	702984	51391	6.8
CN0600300000000	06	003	Alpine County, CA	2003	NA	554	508	46	8.3
CN0600500000000	06	005	Amador County, CA	2003	NA	16389	15384	1005	6.1
CN0600700000000	06	007	Butte County, CA	2003	NA	98296	90885	7411	7.5
CN0600900000000	06	009	Calaveras County, CA	2003	NA	19854	18398	1456	7.3
CN0601100000000	06	011	Colusa County, CA	2003	NA	9433	8086	1347	14.3
CN0601300000000	06	013	Contra Costa County, CA	2003	NA	508420	477620	30800	6.1
CN0601500000000	06	015	Del Norte County, CA	2003	NA	10313	9440	873	8.5
CN0601700000000	06	017	El Dorado County, CA	2003	NA	87468	82631	4837	5.5
CN0601900000000	06	019	Fresno County, CA	2003	NA	403733	356645	47088	11.7
CN0602100000000	06	021	Glenn County, CA	2003	NA	11124	9992	1132	10.2
CN0602300000000	06	023	Humboldt County, CA	2003	NA	60584	56464	4120	6.8
CN0602500000000	06	025	Imperial County, CA	2003	NA	58642	49550	9092	15.5
CN0602700000000	06	027	Inyo County, CA	2003	NA	9097	8576	521	5.7
CN0602900000000	06	029	Kern County, CA	2003	NA	311344	279400	31944	10.3
CN0603100000000	06	031	Kings County, CA	2003	NA	53114	46796	6318	11.9
CN0603300000000	06	033	Lake County, CA	2003	NA	25856	23508	2348	9.1
CN0603500000000	06	035	Lassen County, CA	2003	NA	12313	11373	940	7.6
CN0603700000000	06	037	Los Angeles County, CA	2003	NA	4739472	4409913	329559	7
CN0603900000000	06	039	Madera County, CA	2003	NA	58971	52916	6055	10.3
CN0604100000000	06	041	Marin County, CA	2003	NA	130647	124287	6360	4.9
CN0604300000000	06	043	Mariposa County, CA	2003	NA	8416	7839	577	6.9
CN0604500000000	06	045	Mendocino County, CA	2003	NA	44970	41898	3072	6.8
CN0604700000000	06	047	Merced County, CA	2003	NA	96839	85757	11082	11.4
CN0604900000000	06	049	Modoc County, CA	2003	NA	4203	3839	364	8.7
CN0605100000000	06	051	Mono County, CA	2003	NA	8271	7856	415	5
CN0605300000000	06	053	Monterey County, CA	2003	NA	208693	190091	18602	8.9
CN0605500000000	06	055	Napa County, CA	2003	NA	70670	67261	3409	4.8
CN0605700000000	06	057	Nevada County, CA	2003	NA	48277	45602	2675	5.5
CN0605900000000	06	059	Orange County, CA	2003	NA	1545768	1472492	73276	4.7
CN0606100000000	06	061	Placer County, CA	2003	NA	152740	145004	7736	5.1
CN0606300000000	06	063	Plumas County, CA	2003	NA	10443	9420	1023	9.8
CN0606500000000	06	065	Riverside County, CA	2003	NA	775966	725702	50264	6.5
CN0606700000000	06	067	Sacramento County, CA	2003	NA	652166	614089	38077	5.8
CN0606900000000	06	069	San Benito County, CA	2003	NA	25500	22974	2526	9.9
CN0607100000000	06	071	San Bernardino County, CA	2003	NA	802230	752340	49890	6.2
CN0607300000000	06	073	San Diego County, CA	2003	NA	1457538	1382273	75265	5.2
CN0607500000000	06	075	San Francisco County/city, CA	2003	NA	429292	400587	28705	6.7
CN0607700000000	06	077	San Joaquin County, CA	2003	NA	278846	253418	25428	9.1
CN0607900000000	06	079	San Luis Obispo County, CA	2003	NA	127924	121939	5985	4.7
CN0608100000000	06	081	San Mateo County, CA	2003	NA	366878	345638	21240	5.8
CN0608300000000	06	083	Santa Barbara County, CA	2003	NA	207876	197443	10433	5
CN0608500000000	06	085	Santa Clara County, CA	2003	NA	843720	773878	69842	8.3
CN0608700000000	06	087	Santa Cruz County, CA	2003	NA	144155	133052	11103	7.7
CN0608900000000	06	089	Shasta County, CA	2003	NA	82380	76198	6182	7.5
CN0609100000000	06	091	Sierra County, CA	2003	NA	1635	1483	152	9.3
CN0609300000000	06	093	Siskiyou County, CA	2003	NA	19216	17399	1817	9.5
CN0609500000000	06	095	Solano County, CA	2003	NA	205399	192560	12839	6.3
CN0609700000000	06	097	Sonoma County, CA	2003	NA	252912	239225	13687	5.4
CN0609900000000	06	099	Stanislaus County, CA	2003	NA	221714	199975	21739	9.8
CN0610100000000	06	101	Sutter County, CA	2003	NA	39403	35017	4386	11.1
CN0610300000000	06	103	Tehama County, CA	2003	NA	25613	23658	1955	7.6
CN0610500000000	06	105	Trinity County, CA	2003	NA	5376	4815	561	10.4
CN0610700000000	06	107	Tulare County, CA	2003	NA	181161	159083	22078	12.2
CN0610900000000	06	109	Tuolumne County, CA	2003	NA	25295	23527	1768	7
CN0611100000000	06	111	Ventura County, CA	2003	NA	409668	386156	23512	5.7
CN0611300000000	06	113	Yolo County, CA	2003	NA	91289	85500	5789	6.3
CN0611500000000	06	115	Yuba County, CA	2003	NA	25183	22497	2686	10.7
CN0800100000000	08	001	Adams County, CO	2003	NA	200583	186573	14010	7
CN0800300000000	08	003	Alamosa County, CO	2003	NA	8190	7724	466	5.7
CN0800500000000	08	005	Arapahoe County, CO	2003	NA	291896	274121	17775	6.1
CN0800700000000	08	007	Archuleta County, CO	2003	NA	5589	5268	321	5.7
CN0800900000000	08	009	Baca County, CO	2003	NA	2374	2287	87	3.7
CN0801100000000	08	011	Bent County, CO	2003	NA	2413	2230	183	7.6
CN0801300000000	08	013	Boulder County, CO	2003	NA	164483	155291	9192	5.6
CN0801400000000	08	014	Broomfield County/city, CO	2003	NA	23707	22230	1477	6.2
CN0801500000000	08	015	Chaffee County, CO	2003	NA	7813	7373	440	5.6
CN0801700000000	08	017	Cheyenne County, CO	2003	NA	1287	1243	44	3.4
CN0801900000000	08	019	Clear Creek County, CO	2003	NA	6012	5682	330	5.5
CN0802100000000	08	021	Conejos County, CO	2003	NA	3759	3499	260	6.9
CN0802300000000	08	023	Costilla County, CO	2003	NA	1333	1198	135	10.1
CN0802500000000	08	025	Crowley County, CO	2003	NA	1604	1467	137	8.5
CN0802700000000	08	027	Custer County, CO	2003	NA	1967	1868	99	5
CN0802900000000	08	029	Delta County, CO	2003	NA	14094	13273	821	5.8
CN0803100000000	08	031	Denver County/city, CO	2003	NA	302578	281272	21306	7
CN0803300000000	08	033	Dolores County, CO	2003	NA	987	907	80	8.1
CN0803500000000	08	035	Douglas County, CO	2003	NA	128710	122091	6619	5.1
CN0803700000000	08	037	Eagle County, CO	2003	NA	26188	24960	1228	4.7
