LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2005	NA	23949	23037	912	3.8
CN0100300000000	01	003	Baldwin County, AL	2005	NA	76804	73743	3061	4
CN0100500000000	01	005	Barbour County, AL	2005	NA	10760	10136	624	5.8
CN0100700000000	01	007	Bibb County, AL	2005	NA	8861	8463	398	4.5
CN0100900000000	01	009	Blount County, AL	2005	NA	26446	25491	955	3.6
CN0101100000000	01	011	Bullock County, AL	2005	NA	3747	3391	356	9.5
CN0101300000000	01	013	Butler County, AL	2005	NA	9139	8547	592	6.5
CN0101500000000	01	015	Calhoun County, AL	2005	NA	53955	51524	2431	4.5
CN0101700000000	01	017	Chambers County, AL	2005	NA	16353	15413	940	5.7
CN0101900000000	01	019	Cherokee County, AL	2005	NA	12044	11519	525	4.4
CN0102100000000	01	021	Chilton County, AL	2005	NA	19674	18901	773	3.9
CN0102300000000	01	023	Choctaw County, AL	2005	NA	5300	4951	349	6.6
CN0102500000000	01	025	Clarke County, AL	2005	NA	10126	9478	648	6.4
CN0102700000000	01	027	Clay County, AL	2005	NA	5950	5655	295	5
CN0102900000000	01	029	Cleburne County, AL	2005	NA	6659	6396	263	3.9
CN0103100000000	01	031	Coffee County, AL	2005	NA	20104	19320	784	3.9
CN0103300000000	01	033	Colbert County, AL	2005	NA	24960	23610	1350	5.4
CN0103500000000	01	035	Conecuh County, AL	2005	NA	5188	4866	322	6.2
CN0103700000000	01	037	Coosa County, AL	2005	NA	4892	4645	247	5
CN0103900000000	01	039	Covington County, AL	2005	NA	16933	16167	766	4.5
CN0104100000000	01	041	Crenshaw County, AL	2005	NA	6186	5882	304	4.9
CN0104300000000	01	043	Cullman County, AL	2005	NA	38494	36946	1548	4
CN0104500000000	01	045	Dale County, AL	2005	NA	20168	19269	899	4.5
CN0104700000000	01	047	Dallas County, AL	2005	NA	16007	14636	1371	8.6
CN0104900000000	01	049	DeKalb County, AL	2005	NA	31239	29648	1591	5.1
CN0105100000000	01	051	Elmore County, AL	2005	NA	34448	33157	1291	3.7
CN0105300000000	01	053	Escambia County, AL	2005	NA	14329	13530	799	5.6
CN0105500000000	01	055	Etowah County, AL	2005	NA	46762	44542	2220	4.7
CN0105700000000	01	057	Fayette County, AL	2005	NA	7886	7533	353	4.5
CN0105900000000	01	059	Franklin County, AL	2005	NA	13789	13059	730	5.3
CN0106100000000	01	061	Geneva County, AL	2005	NA	11628	11174	454	3.9
CN0106300000000	01	063	Greene County, AL	2005	NA	3456	3225	231	6.7
CN0106500000000	01	065	Hale County, AL	2005	NA	7053	6669	384	5.4
CN0106700000000	01	067	Henry County, AL	2005	NA	7469	7146	323	4.3
CN0106900000000	01	069	Houston County, AL	2005	NA	46102	44334	1768	3.8
CN0107100000000	01	071	Jackson County, AL	2005	NA	26776	25427	1349	5
CN0107300000000	01	073	Jefferson County, AL	2005	NA	317359	303260	14099	4.4
CN0107500000000	01	075	Lamar County, AL	2005	NA	6132	5788	344	5.6
CN0107700000000	01	077	Lauderdale County, AL	2005	NA	42063	39905	2158	5.1
CN0107900000000	01	079	Lawrence County, AL	2005	NA	15979	15087	892	5.6
CN0108100000000	01	081	Lee County, AL	2005	NA	63530	61161	2369	3.7
CN0108300000000	01	083	Limestone County, AL	2005	NA	35123	33561	1562	4.4
CN0108500000000	01	085	Lowndes County, AL	2005	NA	4952	4554	398	8
CN0108700000000	01	087	Macon County, AL	2005	NA	8705	8191	514	5.9
CN0108900000000	01	089	Madison County, AL	2005	NA	158767	153075	5692	3.6
CN0109100000000	01	091	Marengo County, AL	2005	NA	8603	8109	494	5.7
